Class,Sequence_Index,Mean_Posterior_Probability
RF04326_c,148,0.9720588235294116
RF04326_c,149,0.9495098039215687
RF04326_c,150,0.9504901960784314
RF04326_c,151,0.9495098039215687
RF04326_c,152,0.9693396226415094
RF04326_c,153,0.9720588235294116
RF04326_c,154,0.9259803921568628
RF04326_c,155,0.960377358490566
RF04326_c,156,0.9720588235294116
RF04326_c,157,0.9720588235294116
RF04326_c,158,0.9235294117647059
RF04326_c,159,0.9650943396226415
RF04326_c,160,0.9495098039215687
RF04326_c,161,0.9403846153846154
RF04326_c,162,0.958490566037736
RF04326_c,163,0.9543269230769232
RF04326_c,164,0.9173076923076924
RF04326_c,165,0.96
RF04326_c,166,0.9720588235294116
RF04326_c,167,0.958490566037736
RF04326_c,168,0.9320754716981132
RF04326_c,169,0.9529411764705883
RF04326_c,170,0.96
RF04326_c,171,0.9484042553191492
RF04326_c,172,0.9352941176470588
RF04326_c,173,0.9719999999999999
RF04326_c,174,0.9317708333333332
RF04326_c,175,0.9529411764705883
RF04326_c,176,0.9705882352941175
RF04326_c,177,0.9431372549019608
RF04326_c,178,0.9720588235294116
RF04326_c,179,0.9529411764705883
RF04326_c,180,0.9584999999999999
RF04326_c,181,0.9358490566037736
RF04326_c,182,0.9331730769230769
RF04326_c,183,0.96
RF04326_c,184,0.9555
RF04326_c,185,0.9555
RF04326_c,186,0.9584999999999999
RF04326_c,187,0.9352941176470588
RF04326_c,188,0.9495
RF04326_c,189,0.9602941176470589
RF04326_c,190,0.9588235294117646
RF04326_c,191,0.9469999999999998
RF04326_c,192,0.9490000000000001
RF04326_c,193,0.9584999999999999
RF04326_c,194,0.9620192307692308
RF04326_c,195,0.96
RF04326_c,196,0.9720588235294116
RF04326_c,197,0.96
RF04326_c,198,0.96
RF04326_c,199,0.9555
RF04326_c,200,0.9359999999999999
RF04326_c,201,0.9584999999999999
RF04326_c,202,0.9504807692307692
RF04326_c,203,0.9504807692307692
RF04326_c,204,0.9720588235294116
RF04326_c,205,0.9359999999999999
RF04326_c,206,0.9269999999999999
RF04326_c,207,0.9115000000000001
RF04326_c,208,0.9495
RF04326_c,209,0.9588235294117646
RF04326_c,210,0.9284313725490196
RF04326_c,211,0.9484042553191492
RF04326_c,212,0.9359999999999999
RF04326_c,213,0.9359999999999999
RF04326_c,214,0.9109999999999999
RF04326_c,215,0.9583333333333334
RF04326_c,216,0.9485294117647061
RF04326_c,217,0.9522727272727274
RF04326_c,218,0.9434999999999999
RF04326_c,219,0.9618421052631578
RF04326_c,220,0.9339999999999999
RF04326_c,221,0.9613636363636365
RF04326_c,222,0.9311111111111111
RF04326_c,223,0.9359999999999999
RF04326_c,224,0.9495
RF04326_c,225,0.9367647058823529
RF04326_c,226,0.9602941176470589
RF04326_c,227,0.9490909090909091
RF04326_c,228,0.9505
RF04326_c,229,0.9399999999999998
RF04326_c,230,0.9298913043478262
RF04326_c,231,0.9269999999999999
RF04326_c,232,0.9405
RF04326_c,233,0.9522727272727274
RF04326_c,234,0.9478723404255321
RF04326_c,235,0.958673469387755
RF04326_c,236,0.9406249999999998
RF04326_c,237,0.953125
RF04326_c,238,0.9489795918367347
RF04326_c,239,0.9135416666666666
RF04326_c,240,0.9510416666666667
RF04326_c,241,0.9331632653061224
RF04326_c,242,0.9025510204081633
RF04326_c,243,0.96
RF04326_c,244,0.9239583333333332
RF04326_c,245,0.923469387755102
RF04326_c,246,0.9425
RF04326_c,247,0.9325
RF04326_c,248,0.925
RF04326_c,249,0.925
RF04326_c,250,0.9239583333333332
RF04326_c,251,0.9385416666666666
RF04326_c,252,0.8927083333333333
RF04326_c,253,0.96
RF04326_c,254,0.9343750000000001
RF04326_c,255,0.9093283582089551
RF04326_c,256,0.95
RF04326_c,257,0.9425
RF04326_c,258,0.9249999999999999
RF04326_c,259,0.9538043478260871
RF04326_c,260,0.9309782608695653
RF04326_c,261,0.9434999999999999
RF04326_c,262,0.9562499999999999
RF04326_c,263,0.9428571428571427
RF04326_c,264,0.8927083333333333
RF04326_c,265,0.8860576923076923
RF04326_c,266,0.9572916666666665
RF04326_c,267,0.9303571428571428
RF04326_c,268,0.9302083333333332
RF04326_c,269,0.921875
RF04326_c,270,0.9562499999999999
RF04326_c,271,0.9510416666666665
RF04326_c,272,0.9250000000000004
RF04326_c,273,0.9474489795918367
RF04326_c,274,0.9581632653061224
RF04326_c,275,0.9428571428571427
RF04326_c,276,0.9196078431372547
RF04326_c,277,0.9348958333333334
RF04326_c,278,0.9024509803921567
RF04326_c,279,0.9525862068965516
RF04326_c,280,0.9086734693877551
RF04326_c,281,0.9552083333333332
RF04326_c,282,0.9578124999999998
RF04326_c,283,0.8937499999999999
RF04326_c,284,0.9156862745098039
RF04326_c,285,0.9377659574468086
RF04326_c,286,0.9484374999999999
RF04326_c,287,0.9091346153846154
RF04326_c,288,0.9091346153846154
RF04326_c,289,0.9052083333333333
RF04326_c,290,0.9532608695652176
RF04326_c,291,0.957758620689655
RF04326_c,292,0.925
RF04326_c,293,0.9468749999999999
RF04326_c,294,0.947872340425532
RF04326_c,295,0.9114583333333334
RF04326_c,296,0.9114583333333334
RF04326_c,297,0.9377777777777778
RF04326_c,298,0.9468749999999999
RF04326_c,299,0.9067708333333333
RF04326_c,300,0.9468749999999999
RF04326_c,301,0.9510416666666667
RF04326_c,302,0.9304347826086957
RF04326_c,303,0.9505319148936171
RF04326_c,304,0.9261111111111112
RF04326_c,305,0.9479166666666666
RF04326_c,306,0.9266304347826089
RF04326_c,307,0.9427083333333334
RF04326_c,308,0.9335106382978725
RF04326_c,309,0.9433673469387756
RF04326_c,310,0.9049019607843138
RF04326_c,311,0.9552884615384615
RF04326_c,312,0.9285714285714286
RF04326_c,313,0.9552884615384615
RF04326_c,314,0.9250000000000002
RF04326_c,315,0.9106382978723405
RF04326_c,316,0.9510416666666667
RF04326_c,317,0.9296875
RF04326_c,318,0.875
RF04326_c,319,0.9156862745098039
RF04326_c,320,0.936413043478261
RF04326_c,321,0.8796875000000001
RF04326_c,322,0.9249999999999998
RF04326_c,323,0.943877551020408
RF04326_c,324,0.921875
RF04326_c,325,0.9067708333333332
RF04326_c,326,0.945774647887324
RF04326_c,327,0.945774647887324
RF04326_c,328,0.913586956521739
RF04326_c,329,0.9091346153846154
RF04326_c,330,0.9392857142857143
RF04326_c,331,0.9390000000000002
RF04326_c,332,0.8990384615384616
RF04326_c,333,0.8796875000000001
RF04326_c,334,0.8796875000000001
RF04326_c,335,0.9604545454545456
RF04326_c,336,0.9306122448979592
RF04326_c,337,0.9494565217391306
RF04326_c,338,0.9375
RF04326_c,339,0.8792553191489364
RF04326_c,340,0.9052884615384614
RF04326_c,341,0.946276595744681
RF04326_c,342,0.9323529411764707
RF04326_c,343,0.8964285714285715
RF04326_c,344,0.9720588235294116
RF04326_c,345,0.8796875000000001
RF04326_c,346,0.9057291666666666
RF04326_c,347,0.9721153846153846
RF04326_c,348,0.9472222222222222
RF04326_c,349,0.9538793103448274
RF04326_c,350,0.9161764705882354
RF04326_c,351,0.823469387755102
RF04326_c,352,0.9353773584905662
RF04326_c,353,0.9173076923076924
RF04326_c,354,0.9480392156862746
